"accountid","convoWeek","convoYear","msgOrder","delayPrev","type","firstQuestion","qType","myth","convoID","topic","qualCode","gender","language","age","nurse"
1011,45,2018,1,NA,"user",TRUE,"advice",NA,1,"pregnancy","question","man","eng",20,0
1011,45,2018,2,21,"agent",NA,NA,NA,1,"pregnancy","question","man","eng",20,0
1011,45,2018,3,1009,"user",TRUE,"advice",NA,2,"erections","question","man","eng",20,0
1011,45,2018,4,116,"user",FALSE,NA,NA,2,"erections","nothing","man","eng",20,0
1011,45,2018,5,104,"agent",NA,NA,NA,2,"erections","answer","man","eng",20,0
1011,45,2018,6,2,"agent",NA,NA,NA,2,"erections","question","man","eng",20,0
1011,45,2018,7,535,"user",TRUE,"advice",NA,2,"arousal","question","man","eng",20,0
1011,45,2018,8,828,"agent",NA,NA,NA,2,"arousal","answer, question","man","eng",20,0
1011,45,2018,9,1420,"user",TRUE,"causes",NA,3,"condoms","question","man","eng",20,0
1011,45,2018,10,99,"user",FALSE,NA,NA,3,"condoms","answer","man","eng",20,0
1011,45,2018,11,120,"agent",NA,NA,NA,3,"condoms","answer, question","man","eng",20,0
1011,45,2018,12,1,"user",FALSE,NA,NA,3,"condoms","response","man","eng",20,0
1011,45,2018,13,410,"agent",NA,NA,NA,3,"condoms","bye","man","eng",20,0
1011,47,2018,14,17065,"user",TRUE,"advice",NA,4,"physiology","question","man","eng",20,0
1011,47,2018,15,1432,"agent",NA,NA,NA,4,"physiology","answer","man","eng",20,0
1196,48,2018,1,NA,"user",TRUE,"causes",NA,1,"fertility","question","man","eng",23,0
1196,48,2018,2,3,"user",FALSE,"causes",NA,1,"fertility","question","man","eng",23,0
1196,49,2018,3,3198,"agent",NA,NA,NA,1,"fertility","answer, question","man","eng",23,0
1196,49,2018,4,8,"user",FALSE,"causes",NA,1,"masturbation","question","man","eng",23,0
1196,49,2018,5,55,"agent",NA,NA,NA,1,"masturbation","answer, question","man","eng",23,0
1196,49,2018,6,24,"user",FALSE,"causes",NA,1,"masturbation","question","man","eng",23,0
1196,49,2018,7,8,"agent",NA,NA,NA,1,"masturbation","answer","man","eng",23,0
1196,49,2018,8,10,"agent",NA,NA,NA,1,"masturbation","question","man","eng",23,1
1196,49,2018,9,104,"user",FALSE,"advice",NA,1,"arousal","question","man","eng",23,0
1196,49,2018,10,6,"user",FALSE,"causes",NA,1,"oral sex","question","man","eng",23,0
1196,49,2018,11,53,"agent",NA,NA,NA,1,"oral sex","answer, question","man","eng",23,0
1196,49,2018,12,6572,"user",FALSE,"advice",NA,2,"arousal","question","man","eng",23,0
1196,50,2018,13,3060,"agent",NA,NA,NA,2,"arousal","answer","man","eng",23,0
1196,50,2018,14,4,"user",FALSE,"advice",NA,2,"oral sex","question","man","eng",23,0
1196,50,2018,15,3,"user",FALSE,"advice",NA,2,"oral sex","question","man","eng",23,0
1196,50,2018,16,3,"agent",NA,NA,NA,2,"oral sex","answer, question","man","eng",23,0
1196,50,2018,17,3,"user",FALSE,"causes",NA,2,"arousal","question","man","eng",23,0
1196,50,2018,18,4,"agent",NA,NA,NA,2,"arousal","question","man","eng",23,0
1196,50,2018,19,2,"user",FALSE,"advice",NA,2,"arousal","question","man","eng",23,0
1196,50,2018,20,52,"agent",NA,NA,NA,2,"arousal","answer","man","eng",23,0
1196,50,2018,21,27,"user",FALSE,"advice",NA,2,"sex frequency","question","man","eng",23,0
1196,50,2018,22,6,"agent",NA,NA,NA,2,"sex frequency","answer, question","man","eng",23,0
1196,50,2018,23,1244,"user",FALSE,"causes",NA,2,"sex frequency","question","man","eng",23,0
1196,50,2018,24,65,"agent",NA,NA,NA,2,"sex frequency","question","man","eng",23,0
1196,50,2018,25,1367,"user",FALSE,NA,NA,2,"sex frequency","response","man","eng",23,0
1196,50,2018,26,1653,"agent",NA,NA,NA,2,"sex frequency","bye","man","eng",23,0
1318,43,2018,1,NA,"user",TRUE,"meaning",NA,1,"yeast infections","question","woman","eng",20,0
1318,43,2018,2,8,"agent",NA,NA,NA,1,"yeast infections","answer","woman","eng",20,0
1318,43,2018,3,1,"agent",NA,NA,NA,1,"yeast infections","answer","woman","eng",20,0
1318,43,2018,4,0,"agent",NA,NA,NA,1,"yeast infections","question","woman","eng",20,0
1318,43,2018,5,2,"user",FALSE,"causes",NA,1,"yeast infections","question","woman","eng",20,0
1318,43,2018,6,2,"agent",NA,NA,NA,1,"yeast infections","answer","woman","eng",20,0
1318,43,2018,7,1,"agent",NA,NA,NA,1,"yeast infections","question","woman","eng",20,0
1318,43,2018,8,95,"user",FALSE,"causes",NA,1,"yeast infections","question","woman","eng",20,0
1318,43,2018,9,6,"agent",NA,NA,NA,1,"yeast infections","answer","woman","eng",20,0
1318,43,2018,10,0,"agent",NA,NA,NA,1,"yeast infections","answer","woman","eng",20,0
1318,43,2018,11,0,"agent",NA,NA,NA,1,"yeast infections","answer","woman","eng",20,0
1318,43,2018,12,1,"agent",NA,NA,NA,1,"yeast infections","question","woman","eng",20,0
1318,43,2018,13,2,"user",FALSE,"causes",NA,1,"yeast infections","question","woman","eng",20,0
1318,43,2018,14,10,"agent",NA,NA,NA,1,"yeast infections","answer, question","woman","eng",20,0
1318,44,2018,15,13434,"user",TRUE,"causes",NA,2,"breast cancer","question","woman","eng",20,0
1318,44,2018,16,0,"user",FALSE,NA,NA,2,"breast cancer","nothing","woman","eng",20,0
1318,44,2018,17,1397,"agent",NA,NA,NA,2,"breast cancer","answer","woman","eng",20,0
1318,44,2018,18,0,"agent",NA,NA,NA,2,"breast cancer","question","woman","eng",20,0
1318,45,2018,19,11248,"user",TRUE,"causes","yes",2,"breast cancer","question","woman","eng",20,0
1318,46,2018,20,2418,"agent",NA,NA,NA,2,"breast cancer","answer","woman","eng",20,0
1318,46,2018,21,31,"user",FALSE,NA,NA,2,"breast cancer","response","woman","eng",20,0
1318,46,2018,22,86,"agent",NA,NA,NA,2,"breast cancer","answer, question","woman","eng",20,1
1318,46,2018,23,271,"user",TRUE,"causes",NA,2,"bad odor","question","woman","eng",20,0
1318,46,2018,24,24,"agent",NA,NA,NA,2,"bad odor","question","woman","eng",20,0
1318,46,2018,25,2,"user",FALSE,NA,NA,2,"bad odor","response","woman","eng",20,0
1318,46,2018,26,50,"agent",NA,NA,NA,2,"bad odor","answer","woman","eng",20,0
1318,50,2018,27,41897,"user",TRUE,"causes",NA,3,"physiology","question","woman","eng",20,0
1318,50,2018,28,895,"agent",NA,NA,NA,3,"physiology","answer","woman","eng",20,0
1318,50,2018,29,2,"user",FALSE,NA,NA,3,"physiology","response","woman","eng",20,0
1318,50,2018,30,5,"agent",NA,NA,NA,3,"physiology","answer","woman","eng",20,0
1318,50,2018,31,1,"user",FALSE,NA,NA,3,"physiology","response","woman","eng",20,0
1318,50,2018,32,2,"agent",NA,NA,NA,3,"physiology","bye","woman","eng",20,0
1318,50,2018,33,0,"user",FALSE,NA,NA,3,"physiology","thanks","woman","eng",20,0
1318,50,2018,34,2,"user",TRUE,"causes",NA,3,"menstruation","question","woman","eng",20,0
1318,50,2018,35,23,"agent",NA,NA,NA,3,"menstruation","answer, question","woman","eng",20,0
1318,50,2018,36,8,"user",FALSE,"symptoms",NA,3,"menstruation","question","woman","eng",20,0
1318,50,2018,37,158,"agent",NA,NA,NA,3,"menstruation","answer, question","woman","eng",20,0
1318,50,2018,38,1039,"user",TRUE,"causes",NA,4,"physiology","question","woman","eng",20,0
1318,50,2018,39,110,"agent",NA,NA,NA,4,"physiology","answer","woman","eng",20,0
1318,52,2018,42,2,"user",FALSE,NA,NA,4,"physiology","thanks","woman","eng",20,0
1318,1,2019,43,14612,"agent",NA,NA,NA,3,"menstruation","answer, question","woman","eng",20,0
1318,4,2019,44,32073,"user",TRUE,"causes",NA,5,"yeast infections","question","woman","eng",20,0
1318,4,2019,45,2,"user",FALSE,NA,NA,3,"menstruation","response","woman","eng",20,0
1318,5,2019,46,3634,"agent",NA,NA,NA,5,"yeast infections","question","woman","eng",20,0
1318,5,2019,47,32,"user",FALSE,NA,NA,5,"yeast infections","response","woman","eng",20,0
1318,5,2019,48,97,"agent",NA,NA,NA,5,"yeast infections","answer, question","woman","eng",20,0
1318,5,2019,49,44,"user",FALSE,"causes",NA,5,"yeast infections","question","woman","eng",20,0
1318,5,2019,50,34,"agent",NA,NA,NA,5,"yeast infections","answer","woman","eng",20,0
1318,5,2019,51,14,"user",FALSE,NA,NA,5,"yeast infections","response","woman","eng",20,0
1318,5,2019,52,82,"agent",NA,NA,NA,5,"yeast infections","bye","woman","eng",20,0
2452,3,2019,1,NA,"user",TRUE,"causes",NA,1,"cancer","question","man","eng",24,0
2452,3,2019,2,2,"agent",NA,NA,NA,1,"cancer","answer","man","eng",24,0
2452,3,2019,3,75,"user",FALSE,"causes",NA,1,"ejaculation","question","man","eng",24,0
