"accountid","word"
3,"medication"
3,"STD"
3,"medication"
3,"sexual"
3,"infect"
3,"specific"
3,"type"
3,"antibiotic"
3,"STD"
3,"begin"
3,"syphilis"
3,"causative"
3,"agent"
3,"agent"
3,"question/answer"
3,"causative"
3,"agent"
3,"syphilis"
3,"guy"
3,"talk"
3,"issue"
3,"medical"
3,"response"
3,"talk"
3,"contraception/method"
3,"contraception/method"
3,"contraception/method"
3,"condom"
3,"contraception/method"
3,"contraception/method"
3,"implant"
3,"contraception/method"
3,"contraception/method"
3,"causative"
3,"agent"
3,"syphilis"
3,"drug"
3,"treat"
3,"syphilis"
3,"male"
3,"fertility/infertility"
4,"emergency pills"
4,"morning"
4,"time"
4,"bring"
4,"burn"
4,"urinate"
4,"pain"
4,"play"
4,"sex"
4,"emergency pills"
4,"immediately"
4,"follow"
4,"night"
4,"period"
4,"feel"
4,"strong"
4,"backache"
4,"past"
4,"pill"
4,"test"
4,"negative"
4,"pregnant"
4,"due"
4,"prolong"
4,"period"
4,"delay"
4,"concern"
4,"pregnant"
4,"feel"
4,"headache"
4,"backache"
4,"loss"
4,"appetite"
4,"reduce"
4,"weak"
4,"sign/symptom"
7,"sign/symptom"
7,"syphilis"
7,"stage"
8,"spread"
8,"control"
11,"implanon"
11,"contraception/method"
11,"term"
11,"family planning"
11,"time"
11,"period"
13,"family planning"
15,"sign/symptom"
15,"HIV/AIDS"
15,"family planning"
16,"receive"
16,"period"
16,"october"
16,"october"
16,"unprotected sex"
16,"october"
16,"breastfeed"
16,"pregnant"
16,"late"
16,"emergency pills"
16,"family planning"
16,"baby"
16,"family planning"
17,"circumcision"
17,"prevent"
17,"hiv/aids"
18,"plan"
18,"family"
18,"tablet"
18,"family planning"
20,"family planning"
24,"cervical"
24,"cancer"
24,"sign/symptom"
24,"test"
25,"lady/girl"
25,"affect"
25,"future"
25,"birth"
25,"emergency pills"
25,"form"
25,"family planning"
25,"advice"
25,"lady/girl"
28,"contraception/method"
28,"pain"
28,"sex"
28,"abdominal"
28,"effect/side effect"
28,"pill"
28,"effect/side effect"
28,"pill"
28,"prevent"
28,"sex"
28,"fill"
28,"bring"
28,"vomit"
28,"immediately"
28,"delay"
28,"wife/husband/partner"
28,"question/answer"
28,"friend"
28,"support"
28,"care"
28,"spend"
28,"prevent"
28,"sex"
28,"support"
28,"friend"
28,"mine"
28,"plan"
28,"marriage"
28,"lady/girl"
28,"realize"
