word,n,rename,group with,topic,notes
sex,3730,sex,"sex, intercourse",,
family planning,3161,family planning,"family planning, fp",,
period,2980,period,"period, periodx, periodz, myperiod, menses, menstrual, menstruation, menstration, menstruate, menstrate, menstral, menstrating, menstriation, menstruration, menstruction",,
contraceptive,2234,contraception/method,"contraceptive, method, contraception, contraceptic, amethod ",,
pregnant,2232,pregnant,"pregnant, pregnanted, apregnant, pregnancy",,
method,2028,contraception/method,"contraceptive, method, contraception, contraceptic, amethod ",,
effect,1534,effect/side effect,,,
time,1330,,,,
pregnancy,1327,pregnant,"pregnant, pregnanted, apregnant, pregnancy",,
condom,1314,condom,"rubber, condom",,
pill,1301,pill,"pill, pill's",,
cancer,1294,cancer,"cancer, cancerous",,
question,1122,question/answer,"question, answer",,
pain,1119,pain,"pain, painful, painfull, painfully",,
side effects,1060,effect/side effect,,,
sign,1043,sign/symptom,"sign, symptom",,
answer,890,question/answer,"question, answer",,
girl,851,lady/girl,,,
lady,850,lady/girl,,,
feel,813,feel,"feel, feeling, ifeel, feel's",,
hiv,806,HIV/AIDS,hiv/aid,,
safe days,759,(un)safe/days,"safe days, unsafedays",,
start,707,,,,
prevent,705,prevent,"prevent, prevention",,
safe,666,,,,
implant,684,,,,
affect,645,,,,
birth,642,,,,
normal,635,,,,
sexual,627,sexual,"sexual, sexually, sexualy ",,
injection,576,,,,
experience,567,,,,
breast,537,,,,
wait,529,,,,
bleed,521,blood/bleed,"bleed, blood, overbleed, bleeded, overbleeding, overbleeds",,
true,499,,,,
age,480,,,,
infection,473,,,,
voucher,449,,,,
type,446,,,,
symptom,434,sign/symptom,"sign, symptom",,
stop,433,,,,
partner,395,wife/husband/partner,"wife, husband, wife's, partner, partner's",,
child,394,child,"child, kid",,
person,364,,,,
health,354,health,"health, healthy",,
conceive,352,conceive,,,
body,347,,,,
vagina,346,vagina,"vagina, vagin, vagine",,
test,343,,,,
cervical,336,,,,
discharge,334,,,,
baby,329,baby,"baby, infant, baby's, ababy",,
take,328,,,,
love,319,,,,
receive,312,,,,
people,310,,,,
disease,307,,,,
aid,296,hiv/aids,"hiv, aid",,"aid is the lemma, but we want to keep aids"
irregular,294,,,,
syphilis,287,syphilis,,,
blood,283,blood/bleed,"bleed, blood, overbleed, bleeded, overbleeding, overbleeds",,
unprotected sex,282,,,,
call,280,,,,
effective,275,,,,
healthy,272,,,,
date,270,,,,
penis,270,,,,
cramp,269,,,,
depo,267,,,,
marry,262,marriage,,,
treat,259,treat,"treat, treatment",,
advice,257,,,,
wife,250,wife/husband/partner,"wife, husband, wife's, partner, partner's",,
itch,249,,,,
cycle,247,,,,
transmit,247,infect,,,
intercourse,245,sex,"sex, intercourse",,
ksh,244,,,,
girlfriend,242,wife/husband/partner,,,
boy,239,,,,
remove,238,,,,
sti,238,STD,"std, stds, std's, sti, stis",,
private,235,,,,
painful,232,pain,"pain, painful, painfull, painfully",,
fertility,231,fertility/infertility,,,
negative,230,,,,
emergency pills,230,emergency pills,,,
abortion,227,abortion,,,
sexually,227,sexual,"sexual, sexually, sexualy ",,
vasectomy,226,,,,
plan,224,,,,
infertility,220,fertility/infertility,,,
sperm,219,,,,
avoid,217,prevent,,,
miss,217,,,,
menses,215,period,"period, periodx, periodz, myperiod, menses, menstrual, menstruation, menstration, menstruate, menstrate, menstral, menstrating, menstriation, menstruration, menstruction",,
infect,213,,,,
relationship,209,,,,
friend,206,,,,
low,205,,,,
lead,203,,,,
coil,202,IUD,,,
male,202,,,,
stis,202,STD,"std, stds, std's, sti, stis",,
boyfriend,201,wife/husband/partner,,,
positive,197,,,,
night,196,,,,
term,196,,,,
change,192,,,,
month,189,,,,
control,188,,,,
drug,188,,,,
satisfy,188,,,,
reduce,185,,,,
count,184,,,,
suppose,184,,,,
protection,183,protection,,,
morning,182,,,,
family,180,family,"family, afamily, famili",,
immediately,177,,,,
learn,176,,,,
advisable,175,advice,,,
