class,gender,age
"contraception, side effects",woman,NA
"contraception, stopping",woman,28
contraception,woman,18
"contraception, method recommendation",man,NA
contraception,woman,NA
"contraception, side effects",woman,20
"contraception, effectiveness",woman,NA
"contraception, locate",woman,23
"pregnancy, signs of",woman,NA
"contraception, method recommendation",woman,25
abortion,woman,20
"sexual health, having sex",man,NA
contraception,woman,NA
"contraception, method recommendation",man,NA
abortion,woman,21
"contraception, side effects",woman,20
symptoms,woman,30
"sexual health, STI",woman,22
"contraception, effectiveness",woman,NA
"contraception, method recommendation",woman,40
"contraception, side effects",woman,NA
contraception,woman,NA
pregnancy,woman,22
"men's health, penis size",woman,20
"women's health, menstruation",woman,NA
pregnancy,woman,NA
pregnancy,woman,24
"contraception, side effects",woman,22
something else,woman,30
"contraception, side effects",woman,NA
"contraception, side effects",woman,28
contraception,woman,NA
contraception,woman,NA
"contraception, effectiveness",woman,38
pregnancy,woman,NA
"contraception, method recommendation",woman,NA
"sexual health, having sex",woman,22
something else,woman,22
"contraception, side effects",man,NA
symptoms,woman,NA
"sexual health, relationships",man,NA
symptoms,woman,NA
"women's health, menstruation",woman,30
"women's health, menstruation",woman,20
"contraception, side effects",woman,20
something else,woman,22
"contraception, effectiveness",woman,21
"contraception, method recommendation",woman,20
"contraception, side effects",woman,20
"contraception, method recommendation",woman,21
"contraception, side effects",woman,20
"contraception, side effects",woman,NA
"contraception, method recommendation",woman,NA
"men's health, erectile dysfunction",woman,23
"pregnancy, days, when safe",woman,20
"contraception, cost",woman,20
"contraception, cost",woman,20
"contraception, stopping",woman,28
"contraception, method recommendation",woman,26
symptoms,woman,23
"women's health, menstruation",woman,20
pregnancy,woman,21
contraception,woman,NA
"contraception, method recommendation",woman,24
"contraception, effectiveness",woman,22
"pregnancy, days, when safe",woman,20
contraception,woman,22
"pregnancy, days, when safe",woman,22
"contraception, side effects",woman,21
"contraception, method recommendation",woman,NA
"contraception, side effects",woman,22
"women's health, menstruation",woman,NA
"contraception, side effects",woman,20
"contraception, cost",woman,34
"contraception, stopping",woman,NA
"contraception, method recommendation",woman,NA
"contraception, side effects",woman,NA
contraception,woman,25
"contraception, side effects",woman,20
"contraception, effectiveness",woman,NA
"contraception, side effects",woman,NA
"contraception, stopping",woman,NA
"contraception, locate",woman,20
"contraception, method recommendation",woman,NA
"contraception, side effects",woman,38
"contraception, method recommendation",woman,22
"contraception, method recommendation",woman,22
"contraception, method recommendation",woman,21
"symptoms, discharge",woman,20
"contraception, side effects",woman,28
"women's health, menstruation",woman,NA
"contraception, method recommendation",woman,22
"contraception, method recommendation",woman,22
"contraception, method recommendation",woman,19
"contraception, method recommendation",woman,22
"contraception, side effects",woman,24
"contraception, method recommendation",woman,19
contraception,woman,20
contraception,woman,21
abortion,woman,20
"contraception, side effects",woman,22
"contraception, method recommendation",woman,25
"contraception, side effects",woman,25
contraception,woman,25
