"word","n"
"family planning",3045
"side effects",900
"planning methods",430
"cervical cancer",311
"breast cancer",306
"prostate cancer",300
"unprotected sex",294
"giving birth",186
"emergency pills",183
"reproductive health",178
"side effect",166
"sexual health",165
"feel pain",164
"sexual intercourse",143
"birth control",142
"hiv aids",142
"200 ksh",127
"ksh voucher",123
"irregular periods",120
"prevent pregnancy",119
"abdominal pain",101
"yeast infection",88
"sexually transmitted",85
"hiv positive",84
"pregnancy test",79
"sexually active",71
"200ksh voucher",66
"menstrual cycle",62
"start family",58
"short term",57
"contraceptive method",55
"preventing pregnancy",55
"genital herpes",54
"emergency pill",52
"avoid pregnancy",49
"family plan",49
"lower abdomen",48
"negative effects",46
"vaginal discharge",46
"female condoms",45
"planning pills",44
"transmitted infections",44
"oral sex",43
"abdominal pains",42
"familly planning",42
"infected person",41
"premature ejaculation",40
"reproductive system",40
"transmitted diseases",40
"hiv virus",39
"200 voucher",38
"contraceptive methods",36
"girl friend",36
"white discharge",36
"bad smell",35
"contraceptive pills",35
"ectopic pregnancy",35
"implant method",35
"unwanted pregnancy",35
"baby boy",34
"hormonal imbalance",34
"play sex",34
"fp method",33
"p2 pills",33
"control pills",32
"feeling pain",31
"prevent hiv",31
"experience pain",30
"female condom",30
"planing method",30
"safe sex",30
"heavy flow",29
"transport voucher",29
"depo injection",28
"term methods",28
"low libido",26
"sex immediately",25
"withdrawal method",25
"femi plan",24
"ovarian cyst",24
"playing sex",24
"sexual desire",24
"sexual transmitted",24
"balanced diet",23
"breast feeding",23
"protected sex",23
"femiplan pills",22
"pregnant lady",22
"calculate safe",21
"depo provera",21
"feel itchy",21
"ovarian cancer",21
"period pains",21
"safest method",21
"transmitted infection",21
"urinary track",21
"blood pressure",20
"condom burst",20
"feels pain",20
"heavy bleeding",20
"ksh 200",20
"lower abdominal",20
"planning injection",20
"postinor 2",20
"copper iud",19
"enjoy sex",19
"health facility",19
"negative effect",19
"painful cramps",19
"tubal ligation",19
"women's health",19
"anal sex",18
"cancer screening",18
"count safe",18
"hiv testing",18
"planning affect",18
"pregnant immediately",18
"short call",18
"genital warts",17
"god bless",17
"irregular menses",17
"menstrual period",17
"natural family",17
"painful periods",17
"positive person",17
"sperm count",17
"taking p2",17
"taking pills",17
"term effects",17
"term method",17
"body size",16
"contraception methods",16
"control methods",16
"emergency contraceptive",16
"gain weight",16
"hiv negative",16
"hiv test",16
"low sperm",16
"normal period",16
"pills affect",16
"urinary tract",16
"boy child",15
"burning sensation",15
"called jakadala",15
"causative agent",15
"contraceptives affect",15
"control method",15
"fungal infection",15
"nice time",15
"pregnant women",15
"pubic hair",15
"sex healthy",15
"sex life",15
"sexual diseases",15
"sexually aroused",15
"transportation voucher",15
"weight gain",15
"wet dream",15
"affect fertility",14
"causative agents",14
"common signs",14
"effective method",14
"heavy periods",14
"hiv infection",14
"male condoms",14
"oral contraceptives",14
"sexual intercouse",14
"stomach pains",14
"thick white",14
"allu arjun",13
"arjun okoth",13
"hiv aid",13
"love sex",13
"medical attention",13
"menstrual periods",13
"miss periods",13
"nice evening",13
"okoth kemoda",13
"pre mature",13
"pregnancy period",13
"reproductive organs",13
"track infection",13
"tract infection",13
"women feel",13
"yeast infections",13
"5 yrs",12
"add weight",12
"answer questions",12
"baby girl",12
"contraception method",12
"contraceptive pill",12
"effective birth",12
"health center",12
