"word","n"
"contraception/method",4437
"sex",3975
"period",3795
"pregnant",3576
"family planning",3333
"effect/side effect",2594
"question/answer",2012
"lady/girl",1705
"sign/symptom",1486
"pain",1366
"time",1330
"condom",1328
"pill",1301
"cancer",1296
"wife/husband/partner",1229
"prevent",1000
"sexual",882
"feel",876
"blood/bleed",831
"HIV/AIDS",806
"(un)safe/days",783
"start",707
"implant",684
"fertility/infertility",674
"safe",666
"affect",645
"birth",642
"normal",635
"injection",576
"experience",567
"child",551
"STD",550
"advice",547
"breast",537
"wait",529
"true",499
"age",480
"infection",473
"infect",460
"voucher",449
"type",446
"stop",433
"treat",393
"conceive",377
"marriage",367
"person",364
"baby",357
"vagina",356
"health",354
"body",347
"test",343
"cervical",336
"IUD",336
"discharge",334
"syphilis",325
"love",319
"prostate",315
"receive",312
"disease",310
"people",310
"protection",300
"hiv/aids",296
"irregular",294
"abdominal",288
"abortion",285
"unprotected sex",285
"penis",282
"call",280
"emergency pills",276
"effective",275
"healthy",271
"date",270
"cramp",269
"depo",267
"boy",257
"happen",254
"itch",249
"cycle",247
"ksh",244
"remove",238
"private",235
"negative",230
"vasectomy",226
"male",225
"plan",224
"masturbation",222
"female",221
"sperm",219
"miss",217
"friend",210
"relationship",209
"low",205
"lead",203
"late",200
"positive",197
"night",196
"term",196
"ejaculate",195
"change",192
"drug",188
"satisfy",188
"control",187
"reduce",185
"count",184
"family",184
"suppose",184
"morning",182
"gonorrhea",180
"immediately",177
"learn",176
"bad",174
"reproductive health",174
"disadvantage",170
"send",170
"release",165
"sexual health",165
"vaginal",165
"doctor",164
"hospital",164
"weight",164
"facility",161
"chance",160
"stay",160
"reason",159
"benefit",158
"understand",158
"increase",155
"short",153
"smell",149
"birth control",148
"engage",148
"uti",148
"virgin",146
"fluid",145
"talk",145
"suffer",144
"life",142
"visit",141
"medicine",139
"attend",138
"prep",135
"reproductive",135
"stomach",135
"genital",133
"issue",133
"miscarriage",133
"active",131
"importance",131
"wrong",131
"guy",130
"bring",129
"flow",129
"worry",129
"break",128
"heavy",127
"bed",125
"explain",125
"recommend",125
"food",124
"ready",124
"regular",123
"hear",121
"delay",120
"sleep",120
"ago",118
"leave",118
"yeast",118
"result",115
"mother",114
