"genAge","word","n"
"Women, 20-24","contraception/method",1568
"Women, 20-24","period",1378
"Women, 20-24","pregnant",1220
"Women, 20-24","sex",1012
"Women, 15-19","period",778
"Women, 20-24","effect/side effect",687
"Women, 20-24","family planning",682
"Women, 15-19","pregnant",635
"Women, 20-24","question/answer",633
"Women, 15-19","sex",618
"Women, 20-24","pain",516
"Women, 15-19","contraception/method",495
"Women, 20-24","pill",464
"Women, 25-35","contraception/method",426
"Women, 20-24","sign/symptom",374
"Women, 20-24","time",372
"Women, 25-35","period",335
"Women, 15-19","question/answer",329
"Women, 20-24","cancer",326
"Women, 20-24","voucher",326
"Women, 25-35","pregnant",310
"Women, 20-24","blood/bleed",304
"Women, 20-24","feel",293
"Women, 20-24","wait",292
"Women, 25-35","family planning",290
"Women, 15-19","effect/side effect",284
"Women, 20-24","lady/girl",274
"Women, 20-24","implant",261
"Women, 15-19","pain",259
"Women, 20-24","normal",259
"Women, 20-24","(un)safe/days",257
"Women, 20-24","prevent",247
"Women, 20-24","condom",236
"Women, 20-24","fertility/infertility",232
"Women, 20-24","birth",229
"Women, 20-24","sexual",223
"Women, 20-24","wife/husband/partner",223
"Women, 20-24","breast",221
"Women, 20-24","injection",221
"Women, 15-19","sign/symptom",217
"Women, 20-24","experience",213
"Women, 20-24","start",210
"Women, 20-24","safe",205
"Women, 15-19","time",197
"Women, 25-35","sex",197
"Women, 20-24","affect",191
"Women, 20-24","ksh",189
"Women, 15-19","(un)safe/days",181
"Women, 20-24","advice",167
"Women, 25-35","effect/side effect",166
"Women, 20-24","infection",165
"Women, 20-24","child",164
"Women, 15-19","cancer",163
"Women, 15-19","family planning",163
"Women, 15-19","lady/girl",162
"Women, 15-19","pill",160
"Women, 15-19","prevent",158
"Women, 25-35","cancer",147
"Women, 20-24","stop",146
"Women, 20-24","discharge",142
"Women, 20-24","HIV/AIDS",140
"Women, 20-24","test",140
"Women, 20-24","receive",139
"Women, 15-19","feel",138
"Women, 20-24","true",136
"Women, 20-24","abdominal",134
"Women, 25-35","question/answer",134
"Women, 20-24","vagina",129
"Women, 25-35","pain",125
"Women, 15-19","condom",124
"Women, 20-24","conceive",122
"Women, 20-24","emergency pills",121
"Women, 20-24","abortion",115
"Women, 20-24","STD",115
"Women, 20-24","unprotected sex",115
"Women, 20-24","body",113
"Women, 25-35","pill",113
