"gender","word","n"
"Women","period",2649
"Women","contraception/method",2640
"Women","pregnant",2268
"Women","sex",1901
"Men","sex",1614
"Women","family planning",1306
"Women","effect/side effect",1222
"Women","question/answer",1169
"Women","pain",945
"Men","lady/girl",930
"Men","contraception/method",860
"Women","pill",788
"Men","pregnant",739
"Women","sign/symptom",728
"Women","time",700
"Women","cancer",673
"Men","effect/side effect",665
"Men","condom",659
"Men","wife/husband/partner",610
"Men","sign/symptom",581
"Men","question/answer",558
"Women","blood/bleed",547
"Women","feel",528
"Men","period",525
"Women","lady/girl",519
"Men","cancer",509
"Women","prevent",499
"Women","(un)safe/days",492
"Men","HIV/AIDS",490
"Men","family planning",489
"Women","implant",467
"Women","voucher",445
"Women","normal",435
"Women","wife/husband/partner",433
"Men","time",430
"Women","condom",427
"Women","start",423
"Women","wait",422
"Women","breast",418
"Men","sexual",409
"Women","sexual",394
"Women","fertility/infertility",388
"Women","injection",382
"Women","birth",379
"Women","experience",373
"Women","safe",362
"Men","prevent",353
"Women","affect",331
"Women","advice",320
"Women","stop",285
"Women","child",276
"Women","infection",276
"Women","true",264
"Women","conceive",259
"Women","discharge",256
"Women","cervical",251
"Men","prostate",246
"Women","receive",246
"Women","HIV/AIDS",242
"Men","infect",241
"Men","STD",240
"Men","pain",230
"Women","ksh",229
"Women","test",229
"Women","vagina",229
"Men","fertility/infertility",222
"Women","baby",221
"Women","age",216
"Women","STD",213
"Men","penis",211
"Women","cramp",211
"Men","affect",210
"Men","feel",204
"Men","pill",204
"Women","abdominal",204
"Women","health",203
"Women","IUD",203
"Women","abortion",199
"Women","treat",198
"Men","safe",195
"Women","irregular",193
"Men","syphilis",192
"Women","body",191
"Women","type",191
"Women","infect",189
"Women","emergency pills",186
"Men","hiv/aids",181
"Women","unprotected sex",179
"Women","miss",175
"Women","cycle",174
"Women","itch",174
"Men","age",173
"Women","depo",171
"Women","marriage",169
"Men","true",167
"Women","call",164
"Women","people",164
"Women","remove",164
"Men","(un)safe/days",162
"Men","masturbation",161
"Women","person",159
"Women","effective",158
"Women","date",156
"Men","person",153
"Women","private",152
"Men","disease",151
"Men","treat",150
"Women","protection",148
"Men","start",142
"Women","facility",141
"Men","vasectomy",140
"Women","happen",140
"Men","love",136
"Men","blood/bleed",134
"Men","infection",134
"Men","male",133
"Women","disease",132
"Men","type",129
"Men","birth",126
"Women","love",126
"Women","healthy",125
"Women","learn",123
"Women","vaginal",121
"Men","experience",120
"Women","negative",119
"Women","late",118
"Men","healthy",117
"Men","satisfy",117
"Women","hospital",117
"Men","ejaculate",116
"Women","count",115
"Women","low",115
"Women","visit",115
"Men","sperm",114
"Women","night",113
"Women","change",112
"Women","suppose",112
"Men","advice",111
"Women","doctor",110
"Women","bad",108
"Women","term",108
"Women","lead",107
"Men","breast",105
"Men","child",105
"Men","normal",105
"Men","marriage",104
"Women","birth control",103
"Women","plan",103
"Women","female",102
"Men","boy",101
"Women","reason",101
"Men","protection",99
"Women","immediately",99
"Women","reduce",99
"Women","boy",98
"Women","control",98
"Women","smell",98
"Women","uti",98
"Men","positive",97
"Women","understand",97
"Women","sexual health",96
"Women","syphilis",96
"Women","weight",96
"Men","health",95
"Women","morning",94
"Women","reproductive health",94
"Women","chance",92
"Men","female",91
"Women","attend",91
"Women","fluid",91
"Women","heavy",91
"Men","body",90
"Women","medicine",88
"Women","send",88
"Women","drug",87
"Women","miscarriage",87
"Women","friend",86
"Women","guy",86
"Women","stomach",86
"Men","benefit",85
"Women","ago",85
"Women","stay",85
"Men","bed",83
"Men","gonorrhea",83
"Men","baby",82
"Men","prep",82
"Women","delay",82
"Women","relationship",82
"Men","friend",81
"Women","flow",81
"Women","issue",81
"Women","white",81
"Women","regular",79
"Men","negative",78
"Men","release",78
"Women","hiv/aids",78
"Women","recommend",78
"Men","increase",77
"Women","short",77
"Women","sperm",77
"Men","disadvantage",76
"Men","relationship",76
"Women","worry",76
"Women","yesterday",76
"Men","people",75
"Women","positive",75
"Women","hear",74
"Women","yeast",74
"Men","unprotected sex",73
"Women","talk",73
"Women","break",72
"Women","clinic",72
"Women","active",71
"Men","happen",70
"Men","importance",70
"Women","ready",70
"Women","wrong",70
"Men","engage",69
"Men","suffer",69
"Men","test",69
"Women","future",69
"Women","reply",69
"Men","cervical",68
"Men","sexual health",68
"Women","gonorrhea",68
"Women","urinate",68
"Men","stop",67
"Women","goodnight",67
"Women","reproductive",67
"Men","genital",66
"Women","bring",66
"Women","concern",66
"Women","life",66
"Women","mother",66
"Women","virgin",66
"Men","date",65
"Men","kiss",65
"Men","wait",65
"Women","family",65
"Women","engage",64
"Men","drug",63
"Women","release",63
"Men","erect",62
"Men","reduce",62
"Men","virus",62
"Women","hormonal",62
"Women","occur",62
"Women","result",62
"Women","transport",62
"Women","virginity",62
"Men","reproductive health",61
"Men","vagina",61
"Women","service",61
"Men","food",60
"Men","low",60
"Men","virgin",60
"Women","fibroid",60
"Women","leave",60
"Women","male",60
"Women","medication",60
"Men","life",59
"Women","explain",59
"Women","femiplan",59
"Women","ovulation",59
"Men","implant",58
"Men","jakadala",58
"Men","lead",58
"Women","disadvantage",58
"Women","increase",58
"Women","response",58
"Women","severe",58
"Men","call",57
"Men","circumcision",57
"Men","libido",57
"Men","night",57
"Men","private",57
"Women","due",57
"Women","pimple",57
"Women","satisfy",57
"Men","control",56
"Men","sleep",56
"Women","benefit",56
"Women","breastfeed",56
"Men","term",55
"Women","promise",55
"Men","stage",54
"Women","genital",54
"Women","meet",54
"Men","short",53
"Women","claim",53
"Women","food",53
"Women","text",53
"Women","thick",53
"Women","urine",53
"Men","morning",52
"Women","common",52
"Women","cure",52
