"genAge","word","n"
"Men, 20-24","sex",824
"Men, 20-24","lady/girl",513
"Men, 20-24","contraception/method",435
"Men, 15-19","sex",391
"Men, 20-24","effect/side effect",379
"Men, 20-24","condom",372
"Men, 20-24","pregnant",348
"Men, 25-35","sex",326
"Men, 20-24","question/answer",318
"Men, 20-24","sign/symptom",314
"Men, 20-24","HIV/AIDS",310
"Men, 20-24","wife/husband/partner",285
"Men, 20-24","period",264
"Men, 20-24","cancer",261
"Men, 15-19","lady/girl",260
"Men, 20-24","time",244
"Men, 20-24","sexual",243
"Men, 25-35","contraception/method",219
"Men, 15-19","pregnant",216
"Men, 20-24","prevent",214
"Men, 25-35","wife/husband/partner",194
"Men, 20-24","family planning",189
"Men, 15-19","condom",159
"Men, 25-35","cancer",155
"Men, 15-19","contraception/method",154
"Men, 20-24","infect",145
"Men, 25-35","pregnant",145
"Men, 25-35","family planning",144
"Men, 25-35","sign/symptom",139
"Men, 20-24","STD",138
"Men, 25-35","effect/side effect",133
"Men, 20-24","fertility/infertility",125
"Men, 20-24","pain",125
"Men, 25-35","lady/girl",124
"Men, 15-19","sign/symptom",123
"Men, 20-24","prostate",123
"Men, 15-19","effect/side effect",122
"Men, 15-19","period",117
"Men, 25-35","period",117
"Men, 20-24","safe",116
"Men, 25-35","question/answer",115
"Men, 20-24","hiv/aids",110
"Men, 20-24","penis",110
"Men, 20-24","masturbation",108
"Men, 20-24","affect",107
"Men, 20-24","syphilis",103
"Men, 20-24","feel",102
"Men, 25-35","condom",99
"Men, 20-24","pill",98
"Men, 15-19","wife/husband/partner",97
"Men, 15-19","question/answer",96
"Men, 20-24","(un)safe/days",94
"Men, 25-35","time",91
"Men, 15-19","sexual",89
"Men, 20-24","person",87
"Men, 25-35","HIV/AIDS",87
"Men, 20-24","treat",85
"Men, 20-24","true",85
"Men, 20-24","disease",82
"Men, 20-24","vasectomy",81
"Men, 15-19","HIV/AIDS",79
"Men, 25-35","prostate",79
"Men, 20-24","age",78
"Men, 20-24","male",78
"Men, 15-19","time",77
"Men, 15-19","cancer",75
"Men, 20-24","infection",75
"Men, 15-19","prevent",72
"Men, 20-24","love",71
"Men, 25-35","sexual",70
"Men, 20-24","birth",68
"Men, 20-24","blood/bleed",67
"Men, 20-24","start",67
"Men, 20-24","type",67
"Men, 20-24","healthy",65
"Men, 20-24","satisfy",65
"Men, 20-24","ejaculate",61
"Men, 20-24","normal",58
"Men, 25-35","fertility/infertility",57
"Men, 25-35","pain",57
"Men, 20-24","marriage",56
"Men, 20-24","positive",56
"Men, 20-24","sperm",56
"Men, 25-35","prevent",56
"Men, 20-24","child",54
"Men, 15-19","penis",53
"Men, 20-24","advice",53
"Men, 20-24","experience",53
"Men, 20-24","health",53
"Men, 20-24","protection",52
"Men, 25-35","pill",51
"Men, 15-19","infect",50
"Men, 20-24","gonorrhea",50
"Men, 20-24","breast",48
"Men, 15-19","feel",47
"Men, 20-24","female",47
"Men, 25-35","affect",47
"Men, 15-19","masturbation",46
"Men, 20-24","baby",46
"Men, 20-24","engage",46
"Men, 20-24","negative",46
"Men, 25-35","age",46
"Men, 25-35","true",46
"Men, 20-24","body",45
"Men, 20-24","disadvantage",45
"Men, 20-24","increase",45
"Men, 15-19","syphilis",44
"Men, 20-24","bed",44
"Men, 20-24","boy",44
"Men, 20-24","prep",44
"Men, 20-24","sexual health",44
"Men, 20-24","virus",44
"Men, 25-35","syphilis",44
"Men, 15-19","affect",43
"Men, 20-24","friend",43
"Men, 20-24","relationship",43
"Men, 20-24","unprotected sex",43
"Men, 20-24","wait",43
"Men, 25-35","infect",43
"Men, 15-19","(un)safe/days",42
"Men, 20-24","benefit",42
"Men, 25-35","STD",42
"Men, 15-19","love",41
"Men, 20-24","reproductive health",41
"Men, 25-35","penis",41
"Men, 15-19","STD",40
"Men, 20-24","suffer",40
"Men, 25-35","feel",40
"Men, 20-24","date",39
"Men, 20-24","food",39
"Men, 20-24","stop",39
"Men, 15-19","prostate",38
"Men, 20-24","genital",38
"Men, 20-24","stage",38
"Men, 20-24","test",38
"Men, 25-35","blood/bleed",38
"Men, 15-19","person",37
"Men, 15-19","safe",37
"Men, 20-24","happen",37
"Men, 20-24","importance",37
"Men, 20-24","people",37
"Men, 20-24","release",37
"Men, 20-24","cervical",36
"Men, 20-24","circumcision",36
"Men, 20-24","erect",36
"Men, 20-24","vagina",36
"Men, 15-19","family planning",35
"Men, 20-24","jakadala",35
"Men, 20-24","lead",35
"Men, 20-24","sleep",35
"Men, 25-35","birth",35
"Men, 25-35","treat",35
"Men, 15-19","fertility/infertility",34
"Men, 15-19","hiv/aids",34
"Men, 20-24","low",34
"Men, 20-24","short",34
"Men, 25-35","experience",34
"Men, 15-19","disease",33
"Men, 25-35","disease",33
"Men, 15-19","boy",32
"Men, 15-19","pain",32
"Men, 20-24","fast",32
"Men, 20-24","size",32
"Men, 25-35","breast",32
"Men, 15-19","infection",31
"Men, 15-19","true",31
"Men, 20-24","abortion",31
"Men, 20-24","term",31
"Men, 25-35","child",31
"Men, 25-35","hiv/aids",31
"Men, 15-19","kiss",30
"Men, 15-19","pill",30
"Men, 20-24","chance",30
"Men, 20-24","control",30
"Men, 20-24","herpes",30
"Men, 20-24","libido",30
"Men, 20-24","morning",30
"Men, 20-24","virgin",30
"Men, 25-35","normal",30
"Men, 15-19","age",29
"Men, 20-24","reduce",29
"Men, 25-35","type",29
"Men, 15-19","start",28
"Men, 20-24","effective",28
"Men, 20-24","fluid",28
"Men, 20-24","implant",28
"Men, 20-24","impregnate",28
"Men, 20-24","life",28
"Men, 25-35","advice",28
"Men, 25-35","marriage",28
"Men, 25-35","safe",28
"Men, 25-35","start",28
"Men, 25-35","vasectomy",28
"Men, 15-19","protection",27
"Men, 20-24","break",27
"Men, 20-24","drug",27
"Men, 20-24","night",27
"Men, 20-24","suppose",27
"Men, 25-35","person",27
"Men, 25-35","positive",27
"Men, 15-19","experience",26
"Men, 15-19","sperm",26
"Men, 20-24","abdominal",26
"Men, 20-24","erection",26
"Men, 20-24","late",26
"Men, 20-24","private",26
"Men, 25-35","benefit",26
"Men, 15-19","healthy",25
"Men, 15-19","type",25
"Men, 20-24","conceive",25
"Men, 20-24","cure",25
"Men, 20-24","explain",25
"Men, 20-24","immediately",25
"Men, 20-24","itch",25
"Men, 20-24","IUD",25
"Men, 20-24","kiss",25
"Men, 20-24","stay",25
"Men, 25-35","male",25
"Men, 25-35","sperm",25
"Men, 15-19","release",24
"Men, 20-24","call",24
"Men, 25-35","ejaculate",24
"Men, 25-35","healthy",24
"Men, 25-35","infection",24
"Men, 25-35","satisfy",24
"Men, 15-19","satisfy",23
"Men, 20-24","injection",23
"Men, 20-24","reproductive",23
"Men, 20-24","talk",23
"Men, 25-35","baby",23
"Men, 25-35","prep",23
"Men, 15-19","breast",22
"Men, 15-19","ejaculate",22
"Men, 20-24","bad",22
"Men, 20-24","burst",22
"Men, 20-24","contact",22
"Men, 20-24","play",22
"Men, 20-24","process",22
"Men, 20-24","response",22
"Men, 25-35","body",22
"Men, 25-35","boy",22
"Men, 25-35","cervical",22
"Men, 25-35","drug",22
"Men, 20-24","count",21
"Men, 20-24","eat",21
"Men, 20-24","fuck",21
"Men, 20-24","medicine",21
"Men, 20-24","result",21
"Men, 20-24","skin",21
"Men, 20-24","wet",21
"Men, 25-35","people",21
"Men, 15-19","date",20
"Men, 15-19","fuck",20
"Men, 15-19","treat",20
"Men, 15-19","unprotected sex",20
"Men, 15-19","vasectomy",20
"Men, 20-24","bring",20
"Men, 20-24","live",20
"Men, 20-24","quiz",20
"Men, 20-24","understand",20
"Men, 15-19","virgin",19
"Men, 20-24","active",19
"Men, 20-24","chancroid",19
"Men, 20-24","cycle",19
"Men, 20-24","detect",19
"Men, 20-24","human",19
"Men, 20-24","mind",19
"Men, 20-24","recommend",19
"Men, 20-24","risk",19
"Men, 20-24","urinate",19
"Men, 25-35","gonorrhea",19
"Men, 25-35","implant",19
"Men, 15-19","blood/bleed",18
"Men, 15-19","body",18
"Men, 15-19","control",18
"Men, 15-19","friend",18
"Men, 15-19","gonorrhea",18
"Men, 15-19","life",18
"Men, 20-24","complain",18
"Men, 20-24","cry",18
"Men, 20-24","issue",18
"Men, 20-24","main",18
"Men, 20-24","patner",18
"Men, 20-24","pep",18
"Men, 20-24","plan",18
"Men, 20-24","reason",18
"Men, 20-24","spread",18
"Men, 20-24","system",18
"Men, 20-24","tear",18
"Men, 20-24","testis",18
"Men, 20-24","wrong",18
"Men, 25-35","conceive",18
"Men, 25-35","suffer",18
"Men, 15-19","bed",17
"Men, 15-19","diet",17
"Men, 15-19","importance",17
"Men, 20-24","advantage",17
"Men, 20-24","circumcise",17
"Men, 20-24","enjoy",17
"Men, 20-24","fibroid",17
"Men, 20-24","improve",17
"Men, 20-24","ready",17
"Men, 20-24","real",17
"Men, 20-24","side",17
"Men, 25-35","health",17
"Men, 25-35","love",17
"Men, 25-35","reduce",17
"Men, 15-19","active",16
"Men, 15-19","normal",16
"Men, 15-19","positive",16
"Men, 20-24","agent",16
"Men, 20-24","change",16
"Men, 20-24","couple",16
"Men, 20-24","delay",16
"Men, 20-24","family",16
"Men, 20-24","gal",16
"Men, 20-24","measure",16
"Men, 20-24","organ",16
"Men, 20-24","reach",16
"Men, 25-35","(un)safe/days",16
"Men, 25-35","happen",16
"Men, 25-35","negative",16
"Men, 15-19","advice",15
"Men, 15-19","disadvantage",15
"Men, 15-19","increase",15
"Men, 15-19","private",15
"Men, 15-19","stop",15
"Men, 20-24","agirl",15
"Men, 20-24","dick",15
"Men, 20-24","hear",15
"Men, 20-24","leave",15
"Men, 20-24","maintain",15
"Men, 20-24","malaria",15
"Men, 20-24","musterbation",15
"Men, 20-24","orgasm",15
"Men, 20-24","position",15
"Men, 20-24","stomach",15
"Men, 20-24","trust",15
"Men, 20-24","uti",15
"Men, 25-35","bear",15
"Men, 25-35","female",15
"Men, 25-35","food",15
"Men, 25-35","genital",15
"Men, 25-35","masturbation",15
"Men, 15-19","birth",14
"Men, 15-19","erect",14
"Men, 15-19","female",14
"Men, 15-19","happen",14
"Men, 15-19","male",14
"Men, 15-19","night",14
"Men, 15-19","prep",14
"Men, 20-24","act",14
"Men, 20-24","bear",14
"Men, 20-24","concern",14
"Men, 20-24","discharge",14
"Men, 20-24","doctor",14
"Men, 20-24","duration",14
"Men, 20-24","emergency pills",14
"Men, 20-24","fail",14
"Men, 20-24","handle",14
"Men, 20-24","ht",14
"Men, 20-24","information",14
"Men, 20-24","learn",14
"Men, 20-24","menopause",14
"Men, 20-24","practice",14
"Men, 20-24","realize",14
"Men, 20-24","reproduction",14
"Men, 20-24","urethra",14
"Men, 25-35","bed",14
"Men, 25-35","jakadala",14
"Men, 25-35","libido",14
"Men, 25-35","relationship",14
"Men, 36+","sex",14
"Men, 15-19","allu",13
"Men, 15-19","arjun",13
"Men, 15-19","bad",13
"Men, 15-19","benefit",13
"Men, 15-19","burst",13
"Men, 15-19","call",13
"Men, 15-19","circumcision",13
"Men, 15-19","health",13
"Men, 15-19","itch",13
"Men, 15-19","kemoda",13
"Men, 15-19","marriage",13
"Men, 15-19","okoth",13
"Men, 15-19","relationship",13
"Men, 15-19","vagina",13
"Men, 20-24","continue",13
"Men, 20-24","fear",13
"Men, 20-24","hard",13
"Men, 20-24","mother",13
"Men, 20-24","nice",13
"Men, 20-24","notice",13
"Men, 20-24","oral",13
"Men, 20-24","produce",13
"Men, 20-24","pussy",13
"Men, 20-24","rate",13
"Men, 20-24","regular",13
"Men, 20-24","smell",13
"Men, 20-24","urine",13
"Men, 25-35","active",13
"Men, 25-35","call",13
"Men, 25-35","erection",13
"Men, 25-35","hospital",13
"Men, 25-35","hv",13
"Men, 25-35","increase",13
"Men, 25-35","menopause",13
"Men, 25-35","protection",13
"Men, 36+","contraception/method",13
"Men, 15-19","balance",12
"Men, 15-19","child",12
"Men, 15-19","libido",12
"Men, 15-19","sighns",12
"Men, 20-24","attend",12
"Men, 20-24","boost",12
"Men, 20-24","carry",12
"Men, 20-24","difference",12
"Men, 20-24","factor",12
"Men, 20-24","meet",12
"Men, 20-24","performance",12
"Men, 20-24","pimple",12
"Men, 20-24","reply",12
"Men, 20-24","round",12
"Men, 20-24","sighns",12
"Men, 20-24","swell",12
"Men, 20-24","water",12
"Men, 25-35","complain",12
"Men, 25-35","disadvantage",12
"Men, 25-35","erect",12
"Men, 25-35","friend",12
"Men, 25-35","importance",12
"Men, 25-35","low",12
"Men, 25-35","release",12
"Men, 25-35","test",12
"Men, 25-35","virgin",12
"Men, 15-19","agirl",11
"Men, 15-19","engage",11
"Men, 15-19","fluid",11
"Men, 15-19","lead",11
"Men, 15-19","lover",11
"Men, 15-19","negative",11
"Men, 15-19","organ",11
"Men, 15-19","sexual health",11
"Men, 20-24","abstain",11
"Men, 20-24","ago",11
"Men, 20-24","birth control",11
"Men, 20-24","causative",11
"Men, 20-24","common",11
"Men, 20-24","condition",11
"Men, 20-24","de",11
"Men, 20-24","enlarge",11
"Men, 20-24","female condoms",11
"Men, 20-24","happy",11
"Men, 20-24","hormonal",11
"Men, 20-24","hormone",11
"Men, 20-24","incase",11
"Men, 20-24","manage",11
"Men, 20-24","mine",11
"Men, 20-24","miss",11
"Men, 20-24","premature",11
"Men, 20-24","procedure",11
"Men, 20-24","semen",11
"Men, 20-24","service",11
"Men, 20-24","status",11
"Men, 20-24","sti's",11
"Men, 20-24","virgina",11
"Men, 20-24","white",11
"Men, 20-24","withdrawal",11
"Men, 25-35","abortion",11
"Men, 25-35","awoman",11
"Men, 25-35","change",11
"Men, 25-35","sexual health",11
"Men, 25-35","solution",11
"Men, 25-35","stay",11
"Men, 25-35","stop",11
"Men, 15-19","approach",10
"Men, 15-19","baby",10
"Men, 15-19","change",10
"Men, 15-19","genital",10
"Men, 15-19","immediately",10
"Men, 15-19","nice",10
"Men, 15-19","reach",10
"Men, 15-19","reproductive health",10
"Men, 15-19","sleep",10
"Men, 15-19","spread",10
"Men, 15-19","tire",10
"Men, 15-19","wrong",10
"Men, 20-24","assist",10
"Men, 20-24","bacterial",10
"Men, 20-24","begin",10
"Men, 20-24","calculate",10
"Men, 20-24","contract",10
"Men, 20-24","curable",10
"Men, 20-24","deep",10
"Men, 20-24","delivery",10
"Men, 20-24","diet",10
"Men, 20-24","dream",10
"Men, 20-24","grow",10
"Men, 20-24","guy",10
"Men, 20-24","inside",10
"Men, 20-24","latex",10
"Men, 20-24","lose",10
"Men, 20-24","mature",10
"Men, 20-24","medication",10
"Men, 20-24","relate",10
"Men, 20-24","remove",10
"Men, 20-24","rush",10
"Men, 20-24","specific",10
