"word","n"
"family planning (upangaji uzazi)",4983
"effect/side effect (madhara/shida)",3057
"contraception/method (mbinu/nija)",2341
"question/answer (swali/ijbu)",1997
"injection (sindano)",1877
"pregnant (mimba)",1674
"family (familia)",1287
"child (mtoto)",1191
"sex (ngono)",1056
"blood/bleed (damu)",1036
"period (hedhi)",880
"male (mwanaume)",814
"sign/symptom (ishara/dalili)",734
"wife/husband/partner (mke/mume/mpenzi)",734
"body (mwili)",712
"female (mwanamke)",686
"pill (tembe)",632
"advice (swali/ijbu)",543
"medication (dawa)",539
"stomach (tumbo)",489
"effective (bora)",431
"health (afya)",367
"lady/girl (mwanamke/msichana)",361
"plan (kupanga)",343
"pain (maumivu)",289
"time (wakati)",256
"mother (bibi)",225
"private (siri)",218
"disease (ugonjwa)",209
"condom (condom)",208
"mother (mama)",204
"doctor (daktari)",195
"depo (depo)",192
"advice (nifanyeje)",146
"IUD (coil)",139
"prevent (kuzuia)",139
"HIV/AIDS (ukimwi)",134
"private (salama)",127
"health (kinga)",118
"marriage (ndoa)",117
"facility (kituo)",111
"implant (implant)",111
"service (huduma)",107
"voucher (vocha)",105
"disease (hali)",99
"understand (kujifunza)",96
"start (kuanza)",90
"feel (nahisi)",88
"disease (magonjwa)",86
"condom (kondom)",78
"hospital (hospitali)",75
"stomach (mwilini)",74
"night (usiku)",69
"weight (uzito)",68
"boy (kijana)",64
"heavy (mzito)",61
"condom (kondomu)",59
"medicine (dawa)",58
"cancer (cancer)",56
"friend (rafiki)",55
"prevent (kujikinga)",55
"service (nikifanya)",55
"food (chakula)",53
"infect (zinaa)",53
"sperm (sperms)",53
"time (wataki)",51
"virus (virusi)",51
"#REF!",49
"mother (wamama)",45
"understand (kujua)",45
"wife/husband/partner (yepi)",45
"start (nianze)",44
"worry (naogopa)",42
"female (msichana)",40
"gonorrhea (kisonono)",39
"life (maisha)",39
"body (kifua)",38
"body (moyo)",37
"food (kula)",37
"sexual (kimapenzi)",37
"sleep (kulala)",37
"(un)safe/days",36
"breast (matiti)",36
"discharge (kutokwa)",36
"wife/husband/partner (bwanangu)",35
"facility (clinic)",33
"hospital (hospitalini)",33
"vagina (uke)",33
"feel (hisia)",32
"cancer (saratani)",29
"smell (harufu)",29
"disease (maradhi)",28
"treat (matibabu)",28
"love (mapenzi)",27
"birth (jifungua)",25
"boy (mvulana)",25
"facility (kliniki)",25
"penis (penis)",25
"urinate (mkojo)",25
"condom (condoms)",24
"body (mguu)",23
"start (nikaanza)",23
"disease (ugojwa)",21
"penis (uume)",21
"safe (safe)",19
"doctor (dakitari)",16
"implant (inplant)",16
"pill (vidonge)",16
"wife/husband/partner (mwenzi)",16
"worry (wasiwasi)",16
"boy (wavulana)",15
"condom (condomu)",15
"feel (huhisi)",15
"marriage (sijaolewa)",15
"discharge (discharge)",14
"feel (unahisi)",14
"female (mwanamuke)",14
"friend (marafiki)",14
"prevent (kukinga)",14
"relationship (uhusiano)",14
"start (uanze)",14
"understand (sijakuelewa)",14
"abortion (kuavya)",13
"female (akina)",13
"food (vyakula)",13
"heavy (heavy)",13
"night (masiku)",13
"vasectomy (vasectomy)",13
"abdominal (abdomen)",12
"bed (kitanda)",12
"birth (nilijifungua)",12
"fertility/infertility (uzazi/utasa)",12
"hospital (hosipitali)",12
"private (private)",12
"sperm (sperm)",12
"syphilis (kaswende)",12
"vagina (vagina)",12
"disease (magojwa)",11
"love (ananipenda)",11
"marriage (nimeolewa)",11
"marriage (sijaoa)",11
"wife/husband/partner (girlfriend)",11
"unprotected sex",2
"omitted",1
